City Name,Latitude,Longitude,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lebu,-37.62,-73.65,51.57,51.57,72,61,11.32,CL,1596659003
Torgau,51.57,13.0,66.0,69.8,43,40,5.82,DE,1596659003
Algiers,36.75,3.04,77.0,77.0,65,0,13.87,DZ,1596658984
Oistins,13.07,-59.53,87.8,87.8,62,40,16.11,BB,1596659004
Vila Franca do Campo,37.72,-25.43,73.4,73.4,83,40,10.29,PT,1596658999
Cape Town,-33.93,18.42,44.6,51.01,75,20,4.7,ZA,1596659005
Dingle,11.0,122.67,77.23,77.23,88,100,3.27,PH,1596659005
Yellowknife,62.46,-114.35,66.0,68.0,64,75,14.99,CA,1596659005
Hobart,-42.88,147.33,44.01,46.4,70,75,19.46,AU,1596658781
East London,-33.02,27.91,59.79,59.79,77,100,4.99,ZA,1596659006
Itoman,26.12,127.67,80.01,82.4,83,75,4.7,JP,1596659006
Saint-Marc,19.11,-72.69,86.77,86.77,57,0,8.39,HT,1596659006
Norman Wells,65.28,-126.83,66.2,66.2,77,75,6.93,CA,1596659006
Rikitea,-23.12,-134.97,70.47,70.47,81,73,11.45,PF,1596658775
Ushuaia,-54.8,-68.3,41.0,41.0,65,75,31.09,AR,1596658727
Saskylakh,71.92,114.08,62.2,62.2,86,93,9.98,RU,1596659007
Mayskiy,47.69,40.1,78.8,78.8,44,0,13.42,RU,1596659008
Anadyr,64.75,177.48,48.0,48.2,81,40,6.71,RU,1596659008
Guozhen,34.37,107.36,78.39,78.39,75,86,2.95,CN,1596659008
Camocim,-2.9,-40.84,87.15,87.15,42,5,13.42,BR,1596659008
Busselton,-33.65,115.33,42.01,46.99,82,0,9.71,AU,1596659009
Nanortalik,60.14,-45.24,44.74,44.74,83,30,6.24,GL,1596659009
Mataura,-46.19,168.86,39.99,39.99,96,100,3.65,NZ,1596659010
Hermanus,-34.42,19.23,43.0,43.0,94,61,2.01,ZA,1596659010
Albany,42.6,-73.97,77.0,84.0,37,0,1.01,US,1596659010
Vardø,70.37,31.11,48.2,48.2,100,75,19.46,NO,1596659010
Butaritari,3.07,172.79,83.79,83.79,74,61,24.05,KI,1596659011
Chui,-33.7,-53.46,70.14,70.14,72,0,7.92,UY,1596659011
Mexico,15.06,120.72,80.6,82.4,78,40,4.7,PH,1596659011
Cidreira,-30.18,-50.21,63.14,63.14,72,0,8.19,BR,1596659012
Avarua,-21.21,-159.78,77.0,77.0,88,8,12.75,CK,1596659011
Along,28.17,94.77,77.2,77.2,74,95,1.32,IN,1596659012
Barra de Tecoanapa,16.52,-98.75,88.34,88.34,64,0,10.74,MX,1596659013
Salalah,17.02,54.09,80.6,80.6,83,40,10.29,OM,1596659013
Half Moon Bay,37.46,-122.43,60.01,64.99,77,90,11.41,US,1596659013
Lata,40.16,-8.33,64.99,78.01,41,0,5.01,PT,1596659014
Vanavara,60.34,102.28,57.94,57.94,84,100,4.18,RU,1596659014
Lengshuijiang,27.69,111.43,77.5,77.5,82,0,2.26,CN,1596659014
Altay,47.87,88.12,59.81,59.81,59,7,2.75,CN,1596659015
Aripuanã,-9.17,-60.63,97.34,97.34,23,0,3.56,BR,1596659015
Trélazé,47.45,-0.47,69.8,75.0,46,3,8.01,FR,1596659015
Wawa,9.9,4.42,74.71,74.71,89,100,5.06,NG,1596659016
Castro,-24.79,-50.01,67.44,67.44,57,0,2.86,BR,1596658869
George Town,5.41,100.34,80.6,84.2,94,20,4.7,MY,1596659016
Bluff,-46.6,168.33,39.99,39.99,96,100,7.09,NZ,1596658954
Eidsvåg,62.78,8.07,59.0,59.0,82,75,4.7,NO,1596659017
Laguna,38.42,-121.42,73.4,80.01,53,1,10.29,US,1596659017
New Norfolk,-42.78,147.06,39.0,44.01,76,82,3.0,AU,1596658998
Taft,31.75,54.21,93.2,93.2,16,20,9.17,IR,1596659018
Port Elizabeth,-33.92,25.57,53.6,53.6,100,90,10.29,ZA,1596659017
Rantepao,-2.97,119.9,65.46,65.46,89,50,1.66,ID,1596659018
Smithers,54.78,-127.17,57.2,57.2,93,90,4.7,CA,1596658979
Carnarvon,-24.87,113.63,53.6,53.6,76,0,8.05,AU,1596659019
Magugu,-4.02,35.77,66.81,66.81,60,4,3.49,TZ,1596659019
Puerto Ayora,-0.74,-90.35,71.01,77.0,61,20,21.92,EC,1596659020
Punta Arenas,-53.15,-70.92,39.0,39.2,74,100,12.75,CL,1596658785
Isangel,-19.55,169.27,68.43,68.43,68,1,4.45,VU,1596659020
Port Alfred,-33.59,26.89,57.22,57.22,89,100,12.53,ZA,1596659020
Kaitangata,-46.28,169.85,41.0,41.0,87,100,5.84,NZ,1596659021
Maple Creek,49.92,-109.48,84.34,84.34,21,0,4.79,CA,1596659021
Hualmay,-11.1,-77.61,65.97,65.97,67,8,10.25,PE,1596659021
Uyo,5.03,7.93,73.08,73.08,84,2,6.2,NG,1596659022
Yashalta,46.34,42.28,74.53,74.53,57,1,5.03,RU,1596659022
Ilulissat,69.22,-51.1,39.2,39.2,93,90,2.24,GL,1596659022
Arraial do Cabo,-22.97,-42.03,71.6,71.6,73,0,16.11,BR,1596659013
Tamsalu,59.16,26.12,54.43,54.43,92,58,3.67,EE,1596659023
Lavrentiya,65.58,-171.0,45.3,45.3,87,100,7.72,RU,1596659023
Narsaq,60.92,-46.05,55.4,55.4,62,20,9.17,GL,1596659023
Vuktyl,63.86,57.31,62.47,62.47,79,54,8.1,RU,1596659024
Celestún,20.87,-90.4,86.65,86.65,67,21,13.67,MX,1596659024
Leningradskiy,69.38,178.42,36.34,36.34,86,100,13.13,RU,1596659024
Kamenka,51.32,42.77,70.0,73.0,69,0,8.01,RU,1596659025
Ahipara,-35.17,173.17,56.46,56.46,92,100,7.83,NZ,1596659025
Vila Velha,-20.33,-40.29,71.6,73.99,78,40,4.7,BR,1596658942
Cayenne,4.93,-52.33,78.8,78.8,88,25,2.24,GF,1596659009
Marzuq,14.4,46.47,83.62,83.62,49,100,6.8,YE,1596659026
Longyearbyen,78.22,15.64,53.6,53.6,71,75,5.82,SJ,1596659026
Saint George,37.1,-113.58,96.8,100.99,8,1,5.82,US,1596659020
Nikolskoye,59.7,30.79,55.0,59.0,77,100,2.24,RU,1596659027
Sinnamary,5.38,-52.95,82.38,82.38,80,0,11.18,GF,1596659027
Yumen,40.28,97.2,70.43,70.43,49,22,4.74,CN,1596659027
Pisco,-13.7,-76.22,62.6,64.0,82,20,11.41,PE,1596659028
Hūn,29.13,15.95,93.9,93.9,13,0,12.8,LY,1596659028
Atambua,-9.11,124.89,66.76,66.76,88,5,3.04,ID,1596659028
Cabo San Lucas,22.89,-109.91,91.4,91.4,49,5,10.29,MX,1596658972
Nakusp,50.25,-117.8,84.0,84.0,39,68,1.99,CA,1596659029
Yeppoon,-23.13,150.73,57.2,57.2,93,90,3.36,AU,1596659029
Ancud,-41.87,-73.82,48.2,48.99,66,20,4.7,CL,1596659029
Vostok,46.49,135.88,58.66,58.66,100,100,2.77,RU,1596659030
Portland,45.52,-122.68,75.99,82.0,41,20,10.29,US,1596658741
Broken Hill,-31.95,141.43,44.6,44.6,39,90,12.75,AU,1596659030
Bela,25.93,81.98,84.2,84.2,79,97,9.98,IN,1596659030
Jamestown,42.1,-79.24,68.0,70.0,64,75,13.87,US,1596659031
Sārangarh,21.6,83.08,76.87,76.87,93,100,4.16,IN,1596659032
Akşehir,38.36,31.42,71.31,71.31,29,0,1.7,TR,1596659032
Makakilo City,21.35,-158.09,80.6,87.8,48,40,10.29,US,1596659033
Panjakent,39.5,67.61,75.2,75.2,50,0,2.24,TJ,1596659033
Kapaa,22.08,-159.32,81.0,82.4,69,75,14.99,US,1596659013
Marrakesh,31.63,-8.01,87.8,87.8,43,40,9.17,MA,1596659034
Fairbanks,64.84,-147.72,61.0,64.0,72,1,2.62,US,1596658965
Katsuura,35.13,140.3,73.0,78.01,92,5,7.27,JP,1596659034
Širvintos,55.05,24.95,59.0,60.8,77,94,1.12,LT,1596659034
Newtownards,54.59,-5.69,57.99,63.0,88,5,4.81,GB,1596659035
Hilo,19.73,-155.09,70.0,77.0,83,90,4.7,US,1596659035
Piopio,-38.47,175.02,45.0,45.0,97,100,1.01,NZ,1596659035
Talnakh,69.49,88.4,55.4,55.4,87,54,2.24,RU,1596659037
Tasiilaq,65.61,-37.64,44.6,44.6,81,99,3.36,GL,1596659037
Srednekolymsk,67.45,153.68,55.98,55.98,56,41,9.4,RU,1596659037
Havre-St-Pierre,50.23,-63.6,62.6,62.6,93,90,12.75,CA,1596659038
Vaini,-21.2,-175.2,68.0,68.0,82,20,3.36,TO,1596659013
Yerbogachën,61.28,108.01,58.44,58.44,76,23,6.46,RU,1596659038
Ponta do Sol,32.67,-17.1,66.0,73.4,73,75,8.05,PT,1596659039
Tiarei,-17.53,-149.33,80.01,80.6,69,75,3.36,PF,1596659039
Bonthe,7.53,-12.51,75.42,75.42,72,0,7.16,SL,1596659039
Flin Flon,54.77,-101.86,80.6,80.6,32,40,14.99,CA,1596659039
College,64.86,-147.8,61.0,64.0,72,40,2.66,US,1596659040
Honāvar,14.28,74.45,79.9,79.9,84,100,18.39,IN,1596659040
Stokmarknes,68.56,14.91,57.0,57.2,76,0,2.24,NO,1596659040
Sitka,57.05,-135.33,57.2,57.2,82,75,6.93,US,1596659040
Olds,51.78,-114.1,78.01,80.01,42,0,1.99,CA,1596659041
Paita,-5.09,-81.11,69.8,69.8,68,44,16.11,PE,1596659041
Faanui,-16.48,-151.75,78.46,78.46,81,33,15.66,PF,1596659041
Thompson,55.74,-97.86,84.2,84.2,32,75,10.29,CA,1596659042
Khorixas,-20.37,14.97,49.69,49.69,70,0,5.32,NA,1596659042
Qaanaaq,77.48,-69.36,37.94,37.94,70,4,0.4,GL,1596659042
Beringovskiy,63.05,179.32,47.57,47.57,75,100,12.84,RU,1596659043
Saint-Philippe,-21.36,55.77,53.01,62.6,67,45,6.93,RE,1596659043
Mahébourg,-20.41,57.7,68.0,68.0,68,75,12.75,MU,1596659043
Homer,59.64,-151.55,60.01,66.0,63,1,4.7,US,1596658883
Vanimo,-2.67,141.3,78.19,78.19,80,98,2.55,PG,1596659044
Buala,-8.14,159.59,80.53,80.53,84,69,9.13,SB,1596659044
Goldsboro,35.38,-77.99,86.0,88.0,62,20,4.7,US,1596658754
Shimoda,34.67,138.95,72.0,72.0,92,0,1.01,JP,1596659045
San Jose,37.34,-121.89,68.0,73.0,56,75,10.29,US,1596658915
Bubaque,11.28,-15.83,79.99,79.99,80,93,18.5,GW,1596659045
Tessalit,20.2,1.01,93.34,93.34,39,8,11.3,ML,1596659046
Zaraza,9.35,-65.32,83.97,83.97,80,61,1.12,VE,1596659046
Goderich,43.75,-81.72,66.0,69.01,63,0,9.1,CA,1596659002
Tuktoyaktuk,69.45,-133.04,48.2,48.2,81,90,5.82,CA,1596659047
Ribeira Grande,38.52,-28.7,75.2,75.2,57,40,11.41,PT,1596659047
Farafangana,-22.82,47.83,66.15,66.15,89,2,6.13,MG,1596659047
Huarmey,-10.07,-78.15,66.79,66.79,64,1,10.0,PE,1596659047
Sisimiut,66.94,-53.67,48.11,48.11,69,27,4.36,GL,1596659048
Lorengau,-2.02,147.27,79.65,79.65,86,100,12.71,PG,1596659048
Mormugao,15.4,73.8,80.51,80.51,85,100,25.23,IN,1596659048
Mehamn,71.04,27.85,48.2,48.2,93,90,6.93,NO,1596659049
Noumea,-22.28,166.46,59.0,66.99,87,75,2.24,NC,1596658855
Torbay,47.67,-52.73,61.0,72.0,68,20,10.29,CA,1596659049
Flinders,-34.58,150.86,43.0,45.0,63,0,1.01,AU,1596659050
São João da Barra,-21.64,-41.05,73.4,73.4,64,20,9.17,BR,1596659050
Shevchenkove,49.7,37.17,68.0,68.0,56,0,6.71,UA,1596659051
Omboué,-1.57,9.26,73.49,73.49,83,3,7.92,GA,1596659051
Kamen'-Rybolov,44.75,132.04,65.28,65.28,97,100,3.76,RU,1596659052
Kavieng,-2.57,150.8,82.83,82.83,79,86,16.13,PG,1596659052
Barrow,71.29,-156.79,44.6,44.6,81,90,10.29,US,1596659009
Constitución,-35.33,-72.42,54.91,54.91,67,82,14.43,CL,1596659053
The Valley,18.22,-63.06,82.4,82.4,69,40,12.75,AI,1596659053
Quryq,43.2,51.65,68.22,68.22,77,62,14.74,KZ,1596659053
Galle,6.04,80.22,79.18,79.18,86,100,10.47,LK,1596659054
Neiba,18.5,-71.42,91.4,91.4,59,20,11.41,DO,1596659054
Evanston,42.04,-87.69,73.0,75.99,44,75,10.29,US,1596659055
Port Shepstone,-30.74,30.45,63.99,63.99,78,90,20.71,ZA,1596659055
Oranjestad,12.52,-70.03,87.8,87.8,66,20,24.16,AW,1596659028
Maraã,-1.83,-65.37,88.93,88.93,56,69,1.23,BR,1596659055
Severo-Kuril'sk,50.68,156.12,51.51,51.51,90,100,12.86,RU,1596659056
Cabra,37.47,-4.44,88.0,88.0,32,0,5.95,ES,1596659056
Deloraine,-41.53,146.67,30.0,42.01,80,8,5.82,AU,1596659057
Lagoa,39.05,-27.98,70.45,70.45,73,95,12.3,PT,1596659057
Bredasdorp,-34.53,20.04,44.6,44.6,87,49,5.82,ZA,1596659057
Mogadishu,2.04,45.34,76.5,76.5,83,96,17.58,SO,1596659058
